,OptimMethod,ScenarioNum,SimulationShiftType,DatNormMethod,ExplorationRate,ErrorType,LocalWeightsMode,ErrorNorm,ExplorationStage,AcceptProbType,cubesize,ConstNormFactor,GlobalMoveEachDir,XYZ_Axes_StepStd,Dip_StepStd,Slip_StepStd,localWeightRadiusMult,DipDirection_StepStd,SlipParam,SteppingSizeMult,MaxFaultMarkerError,AmplitudeRatioChange,AzimuthMoveEachDirection,AxisRatioChange,DipMoveEachDirection,StartUpdateLocalWeight,nExploreRuns,MO_WeightingMethod,nruns,AcceptanceGoal,Eta,IndMatingProb,IndMutatingProb,InitialTemperature,MCMC_SwitchWeightFreq,MO_SwitchWeightFreq,MatingMethodGlobal,MatingMethodLocal,MatingSwapProb,MatingSwapRange,MutatingMethod,PbMutateParameter,ReductionRate,SelectionMethod,TournamentSize,UpdateLocalWeightsFreqRuleBased,npop,thread_num,OutputImageFreq,Toy,verbose,BaseFolder,GeneralPerturbStrategy,ControlPointMovementUnits,errCalcMethodFaultMarker,DataTypes,JoinType,xy_extent,xy_origin,DatNormCoef,graniteIdx,Windows,ngen,LocalWeightsMethod,MinMismatch,Grav,Mag,Tracer,GT,FaultMarkers
0,MCMC,13,Median Datum Shift,MedianInitialRounds,LinearErrorBased,Local,Once,Lhalf,Explore,Const diff,150,0.0068852748953944455,349.737377311604,112.49986704602418,4.9808349808079555,38.11226847928645,1.8532863904005414,8.676779208846671,0.1850322280729226,1.0970489560105103,525.1538332228503,0.18459061397179805,5.837588790177957,0.2377967408571392,34.22411819153077,43.0,41.0,Equal,3031,,,,,,,,,,,,,,,,,,,0,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.6246266607813122,0.9268989771901722,0.5490724171918987,0.375,0.46263780662410664,0.809524102900384
1,GA,21,Median Datum Shift,MedianInitialRounds,,Local,Once,L1,,,150,,324.14866493335757,138.52931404993814,3.5307164117416483,78.43470510121777,1.8549952077860477,6.904470331538364,0.12487949287150191,,525.9148928014789,0.05539949401139424,8.00971463912376,0.11506647722454072,30.12086343352494,,,Proportions,3703,,,0.8464801868916751,0.25316153558144094,,,,,cxTwoPointLocal,,,mutUniformFloat,0.15777155701613,,selTournament,6.0,,56.0,1,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,66.0,RuleBased,0.8253912225405162,1.1672655220921857,0.5498885540496962,0.5625,0.6646557149258553,1.182646321634844
2,NSGA,12,Median Datum Shift,MedianInitialRounds,,Global,,L1,,,150,,873.6208676401335,92.49119518527175,3.9643870433785553,47.95694801609855,,2.1288434450403004,0.20899395976227336,,525.2747415986709,0.18266045288831267,9.2770627404456,0.08565009879717704,28.211964100586467,,,,3521,,109.46645126601679,,0.2764781231999641,,,,cxTwoPoint,,,,mutPolynomialBounded,0.22060242227984836,,,,,47.0,2,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,74.0,,0.8323007470888995,0.9868973769572933,0.5313839168150213,0.9375,0.43149931283690895,1.2742231288352737
3,Annealing,21,Median Datum Shift,MedianInitialRounds,LinearErrorBased,Global,,Lhalf,Explore,Annealing,150,,745.2863992720772,85.01485081823124,5.750970924219738,33.14065126240694,,8.348408037433341,0.2153738342958595,1.1180045142119617,525.3734755991019,0.20366633038926274,3.803450234079044,0.06102619506876218,28.94884755384044,,49.0,Equal,2952,,,,,0.00939775533687999,,,,,,,,,0.9756166454111903,,,,,3,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.6323431481938254,0.9805262372746215,0.49913319365212866,0.4375,0.4519013154715235,0.7926549945708532
4,MCMC,20,Median Datum Shift,MedianInitialRounds,None,Global,,L1,Explore,Const diff,150,0.003900888572391099,855.276441829786,71.44860010583231,5.48283362003693,64.43786318513935,,3.951211584101679,0.13604756355206693,,525.919578993863,0.10037505012839687,4.001400847979239,0.21701018621415993,27.5034933104986,,70.0,Proportions,2279,,,,,,,,,,,,,,,,,,,4,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.6241471844508427,0.9115418534670857,0.5486178430914809,0.375,0.5327022922289719,0.7528739334666751
5,GA,17,Median Datum Shift,Given,,Global,,L2,,,150,,759.5638475625448,149.46211144718364,6.820295503132418,42.50325164627587,,3.4103530725337414,0.204073738595768,,525.1091438913423,0.11080236421743483,7.552832606673771,0.1297535603525647,28.6660869804702,,,Equal,2985,,,0.9427612048268091,0.283750359373238,,,,cxUniform,,0.5044753554662422,,mutUniformFloat,0.2235919798597162,,selTournament,10.0,,72.0,5,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,41.0,,0.6568847005516265,0.9554492894401081,0.5509305622403257,0.6875,0.4472551024581442,0.6432885486195549
6,NSGA,21,Median Datum Shift,Given,,Global,,Lhalf,,,150,,730.5968218324704,85.56521326442771,3.964245757453182,65.74988863983648,,2.245793489708113,0.18247198818212423,,525.8534682424872,0.14136493299314018,3.020825831734037,0.09996969270750936,27.307359755745527,,,,2740,,,,0.34607677416138805,,,,cxTwoPoint,,,,mutGaussian,0.20503900979934464,,,,,69.0,6,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,39.0,,0.7652063523596363,0.9658138700198943,0.6032607906702702,0.625,0.663179641217616,0.9687774598904012
7,Annealing,15,Median Datum Shift,Given,None,Local,Once,L2,Explore,Annealing,150,,463.90180784764226,107.9921308514336,2.9248121480657683,73.79963573737047,1.6389912808682507,6.632073422530103,0.12850154438744815,,525.5515167608914,0.1769326619618432,9.65176340792763,0.24100397309244226,26.895864939335617,60.0,47.0,Equal,2951,,,,,0.004630334255751387,,,,,,,,,0.9743653419567325,,,,,7,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.7903132402876301,0.7337679720628175,0.5729538255471466,1.0,0.5416272968680701,1.103217106960116
8,MCMC,20,Median Datum Shift,MedianInitialRounds,None,Local,Once,L2,Explore,Track Acceptance,150,0.006819839024830476,474.8406894235118,75.98938523459802,4.723016913692916,87.24920566157573,2.2007739134063846,3.998154043854891,0.12161517709822177,,525.0194081226375,0.1688700810720598,9.052097730426098,0.07039526622381415,34.809628399877056,51.0,65.0,Proportions,3276,0.18242152979690773,,,,,,,,,,,,,,,,,,8,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,,,0.6486079056121229,1.020806849223925,0.5093494135642456,0.3125,0.3383536145213002,1.0620296507511438
9,GA,21,Median Datum Shift,Given,,Local,Many,L2,,,150,,599.848364691313,144.07565319943535,3.9665465581274466,70.6054387360389,1.5164139260220209,5.800346165620224,0.1755332710797643,,525.787075721494,0.06777844471940152,3.494053445254653,0.1937139526381666,35.271880073417705,,,Equal,2526,,119.6449106247273,0.8641474832315609,0.27987754395094994,,,,,cxOnePointLocal,,,mutPolynomialBounded,0.14044465260247957,,selTournament,9.0,,56.0,9,15,False,True,Combo_Scratch,OnlyGlobal,Absolute value,Distance,"['Grav', 'Mag', 'Tracer', 'GT', 'FaultMarkers']",LINES,"[8850, 9000, 3900]","[316448, 4379166, -2700]","{'Grav': 2.4, 'Tracer': 1.0, 'FaultMarkers': 500, 'GT': 315, 'Mag': 300}",4,False,45.0,RuleBased,0.6371213304545545,0.8645075663930223,0.5678063914547541,0.25,0.6910707593235784,0.8122219351014175
