OID_,WellName,Zm,Xm,Ym
0,15-12,1244.45,327137.93,4406034.67
1,15-12,1243.45,327137.93,4406034.67
2,15-12,1242.45,327137.93,4406034.67
3,15-12,1241.45,327137.93,4406034.67
4,15-12,1240.45,327137.93,4406034.67
5,15-12,1239.45,327137.93,4406034.67
6,15-12,1238.45,327137.93,4406034.67
7,15-12,1237.45,327137.93,4406034.67
8,15-12,1236.45,327137.929,4406034.67
9,15-12,1235.45,327137.929,4406034.67
10,15-12,1234.45,327137.929,4406034.67
11,15-12,1233.45,327137.929,4406034.67
12,15-12,1232.45,327137.929,4406034.67
13,15-12,1231.45,327137.928,4406034.671
14,15-12,1230.45,327137.928,4406034.671
15,15-12,1229.45,327137.928,4406034.671
16,15-12,1228.45,327137.928,4406034.671
17,15-12,1227.45,327137.928,4406034.671
18,15-12,1226.45,327137.927,4406034.671
19,15-12,1225.45,327137.927,4406034.671
20,15-12,1224.45,327137.927,4406034.671
21,15-12,1223.45,327137.927,4406034.671
22,15-12,1222.45,327137.926,4406034.671
23,15-12,1221.45,327137.926,4406034.671
24,15-12,1220.45,327137.925,4406034.671
25,15-12,1219.45,327137.925,4406034.671
26,15-12,1218.45,327137.924,4406034.671
27,15-12,1217.45,327137.924,4406034.671
28,15-12,1216.45,327137.923,4406034.672
29,15-12,1215.45,327137.923,4406034.672
30,15-12,1214.45,327137.922,4406034.672
31,15-12,1213.45,327137.922,4406034.672
32,15-12,1212.45,327137.921,4406034.672
33,15-12,1211.45,327137.921,4406034.673
34,15-12,1210.45,327137.92,4406034.673
35,15-12,1209.45,327137.92,4406034.673
36,15-12,1208.45,327137.92,4406034.673
37,15-12,1207.45,327137.92,4406034.673
38,15-12,1206.45,327137.92,4406034.674
39,15-12,1205.45,327137.92,4406034.674
40,15-12,1204.45,327137.92,4406034.674
41,15-12,1203.45,327137.92,4406034.674
42,15-12,1202.45,327137.92,4406034.674
43,15-12,1201.45,327137.92,4406034.675
44,15-12,1200.45,327137.921,4406034.675
45,15-12,1199.45,327137.921,4406034.675
46,15-12,1198.45,327137.921,4406034.675
47,15-12,1197.45,327137.922,4406034.676
48,15-12,1196.45,327137.922,4406034.676
49,15-12,1195.45,327137.922,4406034.677
50,15-12,1194.45,327137.923,4406034.677
51,15-12,1193.45,327137.924,4406034.677
52,15-12,1192.45,327137.924,4406034.678
53,15-12,1191.45,327137.925,4406034.678
54,15-12,1190.45,327137.926,4406034.679
55,15-12,1189.45,327137.927,4406034.679
56,15-12,1188.45,327137.928,4406034.679
57,15-12,1187.45,327137.929,4406034.68
58,15-12,1186.45,327137.93,4406034.68
59,15-12,1185.45,327137.932,4406034.68
60,15-12,1184.45,327137.933,4406034.681
61,15-12,1183.45,327137.934,4406034.682
62,15-12,1182.45,327137.936,4406034.682
63,15-12,1181.45,327137.937,4406034.683
64,15-12,1180.45,327137.938,4406034.684
65,15-12,1179.45,327137.94,4406034.685
66,15-12,1178.45,327137.942,4406034.686
67,15-12,1177.45,327137.943,4406034.687
68,15-12,1176.45,327137.945,4406034.688
69,15-12,1175.45,327137.946,4406034.69
70,15-12,1174.45,327137.948,4406034.691
71,15-12,1173.45,327137.95,4406034.692
72,15-12,1172.45,327137.952,4406034.694
73,15-12,1171.45,327137.954,4406034.696
74,15-12,1170.45,327137.956,4406034.697
75,15-12,1169.45,327137.958,4406034.699
76,15-12,1168.45,327137.96,4406034.701
77,15-12,1167.45,327137.962,4406034.703
78,15-12,1166.45,327137.964,4406034.705
79,15-12,1165.45,327137.967,4406034.708
80,15-12,1164.45,327137.969,4406034.71
81,15-12,1163.45,327137.972,4406034.712
82,15-12,1162.45,327137.974,4406034.715
83,15-12,1161.45,327137.977,4406034.718
84,15-12,1160.45,327137.98,4406034.72
85,15-12,1159.45,327137.983,4406034.723
86,15-12,1158.45,327137.986,4406034.726
87,15-12,1157.45,327137.988,4406034.729
88,15-12,1156.45,327137.991,4406034.732
89,15-12,1155.45,327137.994,4406034.735
90,15-12,1154.45,327137.997,4406034.738
91,15-12,1153.45,327138,4406034.741
92,15-12,1152.45,327138.003,4406034.745
93,15-12,1151.45,327138.006,4406034.748
94,15-12,1150.45,327138.009,4406034.752
95,15-12,1149.45,327138.012,4406034.755
96,15-12,1148.45,327138.015,4406034.758
97,15-12,1147.45,327138.017,4406034.761
98,15-12,1146.45,327138.02,4406034.763
99,15-12,1145.45,327138.022,4406034.766
100,15-12,1144.45,327138.024,4406034.768
101,15-12,1143.45,327138.026,4406034.77
102,15-12,1142.45,327138.027,4406034.773
103,15-12,1141.45,327138.029,4406034.775
104,15-12,1140.45,327138.03,4406034.777
105,15-12,1139.45,327138.031,4406034.779
106,15-12,1138.45,327138.032,4406034.781
