index,id,X,Y,Zone
1,0,326190,4404690,West
2,0,326234,4404740,West
3,0,326278,4404791,West
4,0,326321,4404842,West
5,0,326365,4404893,West
6,0,326407,4404945,West
7,0,326450,4404996,West
8,0,326492,4405048,West
9,0,326533,4405101,West
10,0,326575,4405153,West
11,0,326616,4405206,West
12,0,326656,4405259,West
13,0,326696,4405312,West
14,0,326736,4405366,West
15,0,326776,4405420,West
16,0,326815,4405474,West
17,0,326853,4405528,East
18,0,326895,4405587,East
19,0,327003,4405738,East
20,0,327053,4405808,East
21,0,327105,4405882,East
22,0,327151,4405949,East
23,0,327176,4405986,East
24,0,327200,4406021,East
25,0,327222,4406055,East
26,0,327244,4406088,East
27,0,327265,4406121,East
28,0,327285,4406153,East
29,0,327305,4406185,East
30,0,327324,4406216,East
31,0,327344,4406249,East
32,0,327363,4406281,East
33,0,327382,4406314,East
34,0,327400,4406345,East
35,0,327417,4406377,East
36,0,327433,4406408,East
37,0,327450,4406439,East
38,0,327465,4406470,East
39,0,327480,4406500,East
40,0,327494,4406531,East
41,0,327508,4406561,East
42,0,327522,4406591,East
43,0,327535,4406620,East
44,0,327547,4406650,East
45,0,327559,4406680,East
46,0,327570,4406709,East
47,0,327576,4406725,East
48,0,327582,4406742,East
49,0,327587,4406759,East
50,0,327593,4406776,East
51,0,327598,4406795,East
52,0,327604,4406813,East
53,0,327609,4406833,East
54,0,327614,4406853,East
55,0,327623,4406888,East
56,0,327632,4406928,East
57,0,327641,4406965,East
58,0,327661,4407057,East
59,0,327672,4407105,East
60,0,327677,4407128,East
61,0,327683,4407151,East
62,0,327688,4407172,East
63,0,327694,4407192,East
64,0,327700,4407213,East
65,0,327706,4407233,East
66,0,327712,4407253,East
67,0,327718,4407272,East
68,0,327725,4407290,East
69,0,327732,4407308,East
70,0,327739,4407326,East
71,0,327746,4407343,East
72,0,327758,4407370,East
73,0,327771,4407398,East
74,0,327785,4407427,East
75,0,327800,4407456,East
76,0,327816,4407485,East
77,0,327833,4407515,East
78,0,327851,4407546,East
79,0,327870,4407578,East
80,0,327888,4407606,East
81,0,327907,4407636,East
82,0,327927,4407667,East
83,0,327949,4407700,East
84,0,327984,4407752,East
85,0,328072,4407881,East
86,0,328112,4407940,East
87,0,328136,4407976,East
88,0,328162,4408013,East
89,0,328188,4408050,East
90,0,328215,4408089,East
91,0,328243,4408128,East
92,0,328272,4408168,East
93,0,328303,4408209,East
94,0,328335,4408251,East
95,0,328391,4408325,East
96,0,328454,4408406,East
97,0,328516,4408484,East
98,0,328665,4408673,East
99,0,328706,4408725,East
100,0,328743,4408773,East
101,0,328830,4408884,East
102,0,328917,4408996,East
103,0,329005,4409107,East
104,0,329093,4409218,East
105,0,329181,4409329,East
106,0,329270,4409439,East
107,0,329359,4409549,East
108,0,329449,4409659,East
109,1,325993,4404763,West
110,1,326026,4404794,West
111,1,326059,4404826,West
112,1,326091,4404857,West
113,1,326123,4404889,West
114,1,326154,4404921,West
115,1,326185,4404954,West
116,1,326215,4404987,West
117,1,326244,4405019,West
118,1,326273,4405053,West
119,1,326302,4405086,West
120,1,326330,4405119,West
121,1,326357,4405153,West
122,1,326384,4405187,West
123,1,326410,4405222,West
124,1,326436,4405256,West
125,1,326461,4405291,West
126,1,326486,4405326,West
127,1,326510,4405361,West
128,1,326534,4405397,West
129,1,326557,4405433,West
130,1,326579,4405469,West
131,1,326601,4405505,West
132,1,326623,4405541,West
133,1,326644,4405578,West
134,1,326664,4405615,West
135,1,326684,4405652,West
136,1,326703,4405690,West
137,1,326722,4405727,West
138,1,326740,4405765,West
139,1,326757,4405803,West
140,1,326774,4405842,West
141,1,326791,4405880,West
142,1,326800,4405901,West
143,1,326808,4405923,West
144,1,326816,4405945,West
145,1,326824,4405967,West
146,1,326832,4405989,West
147,1,326840,4406012,West
148,1,326847,4406035,East
149,1,326855,4406059,East
150,1,326862,4406083,East
151,1,326869,4406108,East
152,1,326876,4406133,East
153,1,326882,4406159,East
154,1,326889,4406185,East
155,1,326895,4406211,East
156,1,326901,4406239,East
157,1,326907,4406267,East
158,1,326916,4406311,East
159,1,326925,4406358,East
160,1,326934,4406407,East
161,1,326943,4406460,East
162,1,326952,4406509,East
163,1,326960,4406564,East
164,1,326991,4406766,East
165,1,327004,4406849,East
166,1,327011,4406894,East
167,1,327018,4406935,East
168,1,327025,4406974,East
169,1,327032,4407011,East
170,1,327036,4407033,East
171,1,327040,4407056,East
172,1,327048,4407105,East
173,1,327056,4407159,East
174,1,327071,4407267,East
175,1,327078,4407313,East
176,1,327085,4407361,East
177,1,327092,4407403,East
178,1,327097,4407428,East
179,1,327102,4407452,East
180,1,327107,4407475,East
181,1,327112,4407498,East
182,1,327117,4407519,East
183,1,327122,4407540,East
184,1,327128,4407560,East
185,1,327134,4407580,East
186,1,327139,4407596,East
187,1,327144,4407613,East
188,1,327150,4407629,East
189,1,327156,4407645,East
190,1,327162,4407661,East
191,1,327169,4407678,East
192,1,327175,4407694,East
193,1,327182,4407710,East
194,1,327190,4407726,East
195,1,327197,4407742,East
196,1,327205,4407758,East
197,1,327213,4407774,East
198,1,327222,4407790,East
199,1,327230,4407806,East
200,1,327239,4407822,East
201,1,327248,4407838,East
202,1,327258,4407854,East
203,1,327268,4407870,East
204,1,327278,4407886,East
205,1,327288,4407902,East
206,1,327299,4407918,East
207,1,327310,4407935,East
208,1,327321,4407951,East
209,1,327332,4407967,East
210,1,327344,4407983,East
211,1,327356,4407999,East
212,1,327369,4408015,East
213,1,327382,4408032,East
214,1,327395,4408048,East
215,1,327408,4408065,East
216,1,327422,4408081,East
217,1,327436,4408098,East
218,1,327459,4408124,East
219,1,327483,4408151,East
220,1,327508,4408179,East
221,1,327535,4408206,East
222,1,327562,4408234,East
223,1,327591,4408263,East
224,1,327620,4408293,East
225,1,327652,4408324,East
226,1,327679,4408349,East
227,1,327707,4408376,East
228,1,327737,4408403,East
229,1,327769,4408433,East
230,1,327829,4408488,East
231,1,327975,4408620,East
232,1,328014,4408657,East
233,1,328050,4408689,East
234,1,328087,4408724,East
235,1,328121,4408757,East
236,1,328154,4408788,East
237,1,328185,4408819,East
238,1,328217,4408851,East
239,1,328247,4408882,East
240,1,328276,4408912,East
241,1,328303,4408942,East
242,1,328330,4408972,East
243,1,328355,4409001,East
244,1,328380,4409030,East
245,1,328403,4409058,East
246,1,328436,4409101,East
247,1,328475,4409152,East
248,1,328520,4409212,East
249,1,328571,4409281,East
250,1,328623,4409352,East
251,1,328683,4409434,East
252,1,328886,4409714,East
253,1,328954,4409808,East
254,1,328988,4409855,East
255,1,329017,4409894,East
256,1,329043,4409928,East
257,1,329065,4409957,East
258,1,329088,4409988,East
259,1,329098,4410000,East
260,1,329106,4410009,East
261,1,329113,4410017,East
