WellName,from,to,type,X,Y,Z,Confidence
18-1,1719.07,1728.22,Complete LOC,327026.54,4407032.17,-475.89,1
18-1,1719.07,1728.22,Complete LOC,327026.54,4407032.17,-475.89,1
18-31,142.34,151.49,Complete LOC,328801.97,4408717.25,1134.47,1
18-31,142.34,151.49,Complete LOC,328801.97,4408717.25,1134.47,1
18A-1,1210.97,1220.11,Complete LOC,327189.5934,4406900.222,62.3703157,1
18A-1,1210.97,1220.11,Complete LOC,327189.5934,4406900.222,62.3703157,1
18B-31,167.94,177.09,Complete LOC,328791.32,4408711.44,1108.81,1
18B-31,167.94,177.09,Complete LOC,328791.32,4408711.44,1108.81,1
18B-31,212.14,221.28,Entry,328791.32,4408711.44,1064.61,1
18B-31,212.14,221.28,Entry,328791.32,4408711.44,1064.61,1
18D-31,103.63,112.78,Complete LOC,328751.91,4408629.11,1172.49,1
18D-31,103.63,112.78,Complete LOC,328751.91,4408629.11,1172.49,1
18D-31,138.38,147.52,Entry,328751.91,4408629.11,1137.74,1
18D-31,138.38,147.52,Entry,328751.91,4408629.11,1137.74,1
22-13,515.11,521.21,Fault,327161.72,4405124.5,736.59,1
22-13,515.11,521.21,Fault,327161.72,4405124.5,736.59,1
22-13,686.1,713.23,Partial LOC,327161.72,4405124.5,565.6,1
22-13,686.1,713.23,Partial LOC,327161.72,4405124.5,565.6,1
26-12,435.86,451.1,Complete LOC,327300.66,4405799.63,812.64,1
26-12,435.86,451.1,Complete LOC,327300.66,4405799.63,812.64,1
27-1,805.28,843.38,Complete LOC,327256.7315,4407207.982,438.6326348,1
27-1,805.28,843.38,Complete LOC,327256.7315,4407207.982,438.6326348,1
27-1,843.38,865.63,Partial LOC,327257.0904,4407211.472,400.7012026,1
27-1,843.38,865.63,Partial LOC,327257.0904,4407211.472,400.7012026,1
27-1,1347.52,1353.62,Partial LOC,327244.223,4407384.776,-59.17599255,1
27-1,1347.52,1353.62,Partial LOC,327244.127,4407388.422,-66.29600293,1
27-1,1353.62,1398.42,Complete LOC,327244.059,4407390.704,-70.74400098,1
27-1,1353.62,1398.42,Complete LOC,327244.045,4407391.161,-71.63400037,1
27-1,2011.68,2017.78,Fault,327225.46,4407691.091,-645.658979,1
27-1,2011.68,2017.78,Fault,327225.652,4407680.552,-624.0980049,1
27A-1,807.72,816.86,Partial LOC,327258.5946,4407205.907,436.1515869,1
27A-1,1552.65,1558.14,Complete LOC,327096.59,4407099.725,-283.3532304,1
27A-1,1558.14,1566.67,Partial LOC,327096.48,4407099.041,-288.6238294,1
27A-1,1763.27,1813.56,Complete LOC,327037.85,4407073.353,-483.8841559,1
46-1,487.38,606.55,Complete LOC,327805.01,4407484.76,765.48,1
46-1,487.38,606.55,Complete LOC,327805.01,4407484.76,765.48,1
46A-1,464.21,486.46,Complete LOC,327774.78,4407401.08,788.13,1
46A-1,464.21,486.46,Complete LOC,327774.78,4407401.08,788.13,1
46A-1,486.46,518.77,Partial LOC,327774.78,4407401.08,765.88,1
46A-1,486.46,518.77,Partial LOC,327774.78,4407401.08,765.88,1
46A-1,518.77,590.7,Complete LOC,327774.78,4407401.08,733.57,1
46A-1,518.77,590.7,Complete LOC,327774.78,4407401.08,733.57,1
47A-1,584.61,590.7,Complete LOC,327661.35,4407291.29,664.45,1
47A-1,584.61,590.7,Complete LOC,327661.35,4407291.29,664.45,1
47A-1,590.7,607.77,Partial LOC,327661.35,4407291.29,658.36,1
47A-1,590.7,607.77,Partial LOC,327661.35,4407291.29,658.36,1
47A-1,633.98,643.13,Fault,327661.35,4407291.29,615.08,1
47A-1,633.98,643.13,Fault,327661.35,4407291.29,615.08,1
47C-1,463.3,497.74,Partial LOC,327746.25,4407308.5,788.52,1
47C-1,463.3,497.74,Partial LOC,327746.25,4407308.5,788.52,1
47C-1,497.74,585.22,Complete LOC,327746.25,4407308.5,754.08,1
47C-1,497.74,585.22,Complete LOC,327746.25,4407308.5,754.08,1
48A-1,360.88,388.62,Complete LOC,327704.9,4407180.65,890.61,1
48A-1,360.88,388.62,Complete LOC,327704.9,4407180.65,890.61,1
55-1,350.52,370.64,Complete LOC,328014.47,4407720.54,904.58,1
55-1,350.52,370.64,Complete LOC,328014.47,4407720.54,904.58,1
56-1,324.31,335.28,Complete LOC,327963.43,4407554.91,930.42,1
56-1,324.31,335.28,Complete LOC,327963.43,4407554.91,930.42,1
56A-1,460.25,466.65,Partial LOC,327859.51,4407555.78,793.42,1
56A-1,460.25,466.65,Partial LOC,327859.51,4407555.78,793.42,1
56A-1,466.65,480.06,Complete LOC,327859.51,4407555.78,787.02,1
56A-1,466.65,480.06,Complete LOC,327859.51,4407555.78,787.02,1
56B-1,328.57,346.56,Complete LOC,327891.35,4407452.89,925.66,1
56B-1,328.57,346.56,Complete LOC,327891.35,4407452.89,925.66,1
57-1,335.28,344.42,Complete LOC,327931.46,4407414.38,920.03,1
57-1,335.28,344.42,Complete LOC,327931.46,4407414.38,920.03,1
68B-1,51.21,60.35,Partial LOC,328065.7,4407061.64,1206.52,1
68B-1,51.21,60.35,Partial LOC,328065.7,4407061.64,1206.52,1
68B-1,115.82,121.92,Fault,328065.7,4407061.64,1141.91,1
68B-1,115.82,121.92,Fault,328065.7,4407061.64,1141.91,1
68B-1,154.23,163.37,Complete LOC,328065.7,4407061.64,1103.5,1
68B-1,154.23,163.37,Complete LOC,328065.7,4407061.64,1103.5,1
68B-1,259.08,286.82,Partial LOC,328065.7,4407061.64,998.65,1
68B-1,259.08,286.82,Partial LOC,328065.7,4407061.64,998.65,1
68B-1,286.82,609.6,Complete LOC,328065.7,4407061.64,970.91,1
68B-1,286.82,609.6,Complete LOC,328065.7,4407061.64,970.91,1
77-1,576.07,585.22,Complete LOC,328214.13,4407181.69,691.56,1
77-1,576.07,585.22,Complete LOC,328214.13,4407181.69,691.56,1
81-1,150.88,158.5,Complete LOC,328567.28,4408511.94,1123.6,1
